,Stock_Codes,Company_Name
497,504390,AVTIL Enterprise Ltd
498,504392,Krishna Ventures Limited
499,504397,GANESH HOLDINGS LTD.
500,504398,SJ CORPORATION LTD.
501,504605,UNI ABEX ALLOY PRODUCTS LTD.
502,504614,SARDA ENERGY & MINERALS LTD.
503,504629,ANIL SPECIAL STEEL INDUSTRIES LTD.
504,504643,BWL LTD.
505,504646,BHAGWATI AUTOCAST LTD.
506,504648,BOMBAY WIRE ROPES LTD.
507,504671,CHASE BRIGHT STEEL LTD.
508,504673,UNIVERSAL PRIME ALUMINIUM LTD.
509,504697,GALADA POWER & TELECOMMUNICATION LTD.
510,504701,GONTERMANN-PEIPERS (INDIA) LTD.
511,504713,HINDUSTAN WIRES LTD.
512,504717,STEEL STRIPS LTD.
513,504731,INDIAN BRIGHT STEEL CO.LTD.
514,504741,INDIAN HUME PIPE CO.LTD.
515,504746,INDIAN LINK CHAIN MANUFACTURES LTD.
516,504786,INVESTMENT & PRECISION CASTINGS LTD.
517,504810,INFORMED TECHNOLOGIES INDIA LTD.
518,504823,Mahindra Ugine Steel Co.ltd.
519,504840,KAIRA CAN CO.LTD.
520,504864,ORISSA SPONGE IRON & STEEL LTD.
521,504879,Orient Ceratech Ltd
522,504882,NATIONAL STANDARD (INDIA) LTD.
523,504903,RATHI STEEL & POWER LTD.
524,504908,Duncan Engineering Ltd
525,504918,SANDUR MANGANESE & IRON ORES LTD.
526,504959,STOVEC INDUSTRIES LTD.
527,504960,STEWARTS & LLOYDS OF INDIA LTD.
528,504961,TAYO ROLLS LTD.
529,504966,TINPLATE COMPANY OF INDIA LTD.
530,504973,Cholamandalam Financial Holdings Ltd
531,504988,WELCAST STEELS LTD.
532,504991,VIDARBHA IRON & STEEL CORPORATION LTD.
533,504998,WESTERN MINISTIL LTD.
534,505010,AUTOMOTIVE AXLES LTD.
535,505029,ATLAS CYCLES (HARYANA) LTD.
536,505036,AUTOMOBILE CORPORATION OF GOA LTD.
537,505052,Clutch Auto Ltd.
538,505075,SETCO AUTOMOTIVE LTD.
539,505141,SCOOTERS INDIA LTD.
540,505160,TALBROS AUTOMOTIVE COMPONENTS LTD.
541,505163,Z.F.STEERING GEAR (INDIA) LTD.
542,505192,SML ISUZU LIMITED
543,505196,TIL LTD.
544,505200,EICHER MOTORS LTD.
545,505212,JAINEX AAMCOL LTD.
546,505216,ALFRED HERBERT (INDIA) LTD.
547,505230,CIMMCO LTD.
548,505232,Veljan Denison Limited
549,505242,DYNAMATIC TECHNOLOGIES LTD.
550,505250,G.G.DANDEKAR MACHINE WORKS LTD.
551,505255,GMM PFAUDLER LTD.
552,505283,KIRLOSKAR PNEUMATIC CO.LTD.
553,505285,Tulive Developers Limited
554,505299,KPT Industries Ltd
555,505302,LAKSHMI AUTOMATIC LOOM WORKS LTD.
556,505320,LYNX MACHINERY & COMMERCIALS LTD.
557,505324,MANUGRAPH INDIA LTD.
558,505336,Mirch Technologies (India) Ltd
559,505343,MONOTYPE INDIA LTD.
560,505355,NESCO LTD.
561,505358,INTEGRA ENGINEERING INDIA LTD.
562,505368,REVATHI EQUIPMENT LTD.
563,505400,TEXMACO INFRASTRUCTURE & HOLDINGS LTD.
564,505412,WENDT (INDIA) LTD.
565,505502,PS IT Infrastructure & Services Limited
566,505504,SINDU VALLEY TECHNOLOGIES LTD.
567,505506,Axon Ventures Ltd
568,505509,RESPONSIVE INDUSTRIES LTD.
569,505513,Shree Shaleen Textiles Limited
570,505515,SHYAMKAMAL INVESTMENTS LTD.
571,505520,HEM HOLDINGS & TRADING LTD.
572,505523,MAHARASHTRA CORPORATION LTD.
573,505525,Parichay Investments Ltd.
574,505526,Dolat Algotech Ltd
575,505529,SHYAMAL HOLDINGS & TRADING LTD.
576,505530,PRISM INFORMATICS LTD.
577,505533,Westlife Foodworld Ltd
578,505537,ZEE ENTERTAINMENT ENTERPRISES LTD.
579,505539,IMC FINANCE LTD.
580,505576,Goldcrest Corporation Limited
581,505583,W W Technology Holdings Ltd.
582,505585,KOVALAM INVESTMENT & TRADING CO.LTD.
583,505590,SVP Global Textiles Ltd
584,505592,Shreekrishna Biotech Ltd.
585,505594,MULTIPLUS HOLDINGS LTD.
586,505650,SKYLINE MILLARS LTD.
