,SYMBOL,NAME OF COMPANY,yTickers
265,BEPL,Bhansali Engineering Polymers Limited,BEPL.NS
266,BERGEPAINT,Berger Paints (I) Limited,BERGEPAINT.NS
267,BESTAGRO,Best Agrolife Limited,BESTAGRO.NS
268,BFINVEST,BF Investment Limited,BFINVEST.NS
269,BFUTILITIE,BF Utilities Limited,BFUTILITIE.NS
270,BGRENERGY,BGR Energy Systems Limited,BGRENERGY.NS
271,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,BHAGCHEM.NS
272,BHAGERIA,Bhageria Industries Limited,BHAGERIA.NS
273,BHAGYANGR,Bhagyanagar India Limited,BHAGYANGR.NS
274,BHANDARI,Bhandari Hosiery Exports Limited,BHANDARI.NS
275,BHARATFORG,Bharat Forge Limited,BHARATFORG.NS
276,BHARATGEAR,Bharat Gears Limited,BHARATGEAR.NS
277,BHARATRAS,Bharat Rasayan Limited,BHARATRAS.NS
278,BHARATSE,Bharat Seats Limited,BHARATSE.NS
279,BHARATWIRE,Bharat Wire Ropes Limited,BHARATWIRE.NS
280,BHARTIARTL,Bharti Airtel Limited,BHARTIARTL.NS
281,BHARTIHEXA,Bharti Hexacom Limited,BHARTIHEXA.NS
282,BHEL,Bharat Heavy Electricals Limited,BHEL.NS
283,BIGBLOC,Bigbloc Construction Limited,BIGBLOC.NS
284,BIKAJI,Bikaji Foods International Limited,BIKAJI.NS
285,BIL,Bhartiya International Limited,BIL.NS
286,BINANIIND,Binani Industries Limited,BINANIIND.NS
287,BIOCON,Biocon Limited,BIOCON.NS
288,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM.NS
289,BIRLACABLE,Birla Cable Limited,BIRLACABLE.NS
290,BIRLACORPN,Birla Corporation Limited,BIRLACORPN.NS
291,BIRLAMONEY,Aditya Birla Money Limited,BIRLAMONEY.NS
292,BIRLANU,BirlaNu Limited,BIRLANU.NS
293,BLACKBUCK,Zinka Logistics Solutions Limited,BLACKBUCK.NS
294,BLAL,BEML Land Assets Limited,BLAL.NS
295,BLBLIMITED,BLB Limited,BLBLIMITED.NS
296,BLISSGVS,Bliss GVS Pharma Limited,BLISSGVS.NS
297,BLKASHYAP,B. L. Kashyap and Sons Limited,BLKASHYAP.NS
298,BLS,BLS International Services Limited,BLS.NS
299,BLSE,BLS E-Services Limited,BLSE.NS
300,BLUECOAST,Blue Coast Hotels Limited,BLUECOAST.NS
301,BLUEDART,Blue Dart Express Limited,BLUEDART.NS
302,BLUEJET,Blue Jet Healthcare Limited,BLUEJET.NS
303,BLUESTARCO,Blue Star Limited,BLUESTARCO.NS
304,BODALCHEM,Bodal Chemicals Limited,BODALCHEM.NS
305,BOHRAIND,Bohra Industries Limited,BOHRAIND.NS
306,BOMDYEING,Bombay Dyeing & Mfg Company Limited,BOMDYEING.NS
307,BOROLTD,Borosil Limited,BOROLTD.NS
308,BORORENEW,BOROSIL RENEWABLES LIMITED,BORORENEW.NS
309,BOROSCI,Borosil Scientific Limited,BOROSCI.NS
310,BOSCHLTD,Bosch Limited,BOSCHLTD.NS
311,BPCL,Bharat Petroleum Corporation Limited,BPCL.NS
312,BPL,BPL Limited,BPL.NS
313,BRIGADE,Brigade Enterprises Limited,BRIGADE.NS
314,BRITANNIA,Britannia Industries Limited,BRITANNIA.NS
315,BRNL,Bharat Road Network Limited,BRNL.NS
316,BROOKS,Brooks Laboratories Limited,BROOKS.NS
317,BSE,BSE Limited,BSE.NS
318,BSHSL,Bombay Super Hybrid Seeds Limited,BSHSL.NS
319,BSL,BSL Limited,BSL.NS
320,BSOFT,BIRLASOFT LIMITED,BSOFT.NS
321,BTML,Bodhi Tree Multimedia Limited,BTML.NS
322,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,BUTTERFLY.NS
323,BVCL,Barak Valley Cements Limited,BVCL.NS
324,BYKE,The Byke Hospitality Ltd,BYKE.NS
325,CALSOFT,California Software Company Limited,CALSOFT.NS
326,CAMLINFINE,Camlin Fine Sciences Limited,CAMLINFINE.NS
327,CAMPUS,Campus Activewear Limited,CAMPUS.NS
328,CAMS,Computer Age Management Services Limited,CAMS.NS
329,CANBK,Canara Bank,CANBK.NS
330,CANFINHOME,Can Fin Homes Limited,CANFINHOME.NS
331,CANTABIL,Cantabil Retail India Limited,CANTABIL.NS
332,CAPACITE,Capacit'e Infraprojects Limited,CAPACITE.NS
333,CAPITALSFB,Capital Small Finance Bank Limited,CAPITALSFB.NS
334,CAPLIPOINT,Caplin Point Laboratories Limited,CAPLIPOINT.NS
335,CAPTRUST,Capital Trust Limited,CAPTRUST.NS
336,CARBORUNIV,Carborundum Universal Limited,CARBORUNIV.NS
337,CARERATING,CARE Ratings Limited,CARERATING.NS
338,CARRARO,Carraro India Limited,CARRARO.NS
339,CARTRADE,Cartrade Tech Limited,CARTRADE.NS
340,CARYSIL,CARYSIL LIMITED,CARYSIL.NS
341,CASTROLIND,Castrol India Limited,CASTROLIND.NS
342,CCCL,Consolidated Construction Consortium Limited,CCCL.NS
343,CCHHL,Country Club Hospitality & Holidays Limited,CCHHL.NS
344,CCL,CCL Products (India) Limited,CCL.NS
345,CDSL,Central Depository Services (India) Limited,CDSL.NS
346,CEATLTD,CEAT Limited,CEATLTD.NS
347,CEIGALL,Ceigall India Limited,CEIGALL.NS
348,CELEBRITY,Celebrity Fashions Limited,CELEBRITY.NS
349,CELLO,Cello World Limited,CELLO.NS
350,CENTENKA,Century Enka Limited,CENTENKA.NS
351,CENTEXT,Century Extrusions Limited,CENTEXT.NS
352,CENTRALBK,Central Bank of India,CENTRALBK.NS
353,CENTRUM,Centrum Capital Limited,CENTRUM.NS
354,CENTUM,Centum Electronics Limited,CENTUM.NS
355,CENTURYPLY,Century Plyboards (India) Limited,CENTURYPLY.NS
356,CERA,Cera Sanitaryware Limited,CERA.NS
357,CEREBRAINT,Cerebra Integrated Technologies Limited,CEREBRAINT.NS
358,CESC,CESC Limited,CESC.NS
359,CEWATER,Concord Enviro Systems Limited,CEWATER.NS
360,CGCL,Capri Global Capital Limited,CGCL.NS
361,CGPOWER,CG Power and Industrial Solutions Limited,CGPOWER.NS
362,CHALET,Chalet Hotels Limited,CHALET.NS
363,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT.NS
364,CHEMBOND,Chembond Chemicals Ltd,CHEMBOND.NS
365,CHEMCON,Chemcon Speciality Chemicals Limited,CHEMCON.NS
366,CHEMFAB,Chemfab Alkalis Limited,CHEMFAB.NS
367,CHEMPLASTS,Chemplast Sanmar Limited,CHEMPLASTS.NS
368,CHENNPETRO,Chennai Petroleum Corporation Limited,CHENNPETRO.NS
369,CHEVIOT,Cheviot Company Limited,CHEVIOT.NS
370,CHOICEIN,Choice International Limited,CHOICEIN.NS
371,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS
372,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,CHOLAHLDNG.NS
373,CIEINDIA,CIE Automotive India Limited,CIEINDIA.NS
374,CIFL,Capital India Finance Limited,CIFL.NS
375,CIGNITITEC,Cigniti Technologies Limited,CIGNITITEC.NS
376,CINELINE,Cineline India Limited,CINELINE.NS
377,CINEVISTA,Cinevista Limited,CINEVISTA.NS
378,CIPLA,Cipla Limited,CIPLA.NS
379,CLEAN,Clean Science and Technology Limited,CLEAN.NS
380,CLEDUCATE,CL Educate Limited,CLEDUCATE.NS
381,CLSEL,Chaman Lal Setia Exports Limited,CLSEL.NS
382,CMSINFO,CMS Info Systems Limited,CMSINFO.NS
383,COALINDIA,Coal India Limited,COALINDIA.NS
384,COASTCORP,Coastal Corporation Limited,COASTCORP.NS
385,COCHINSHIP,Cochin Shipyard Limited,COCHINSHIP.NS
386,COFFEEDAY,Coffee Day Enterprises Limited,COFFEEDAY.NS
387,COFORGE,Coforge Limited,COFORGE.NS
388,COLPAL,Colgate Palmolive (India) Limited,COLPAL.NS
389,COMPUSOFT,Compucom Software Limited,COMPUSOFT.NS
390,COMSYN,Commercial Syn Bags Limited,COMSYN.NS
391,CONCOR,Container Corporation of India Limited,CONCOR.NS
392,CONCORDBIO,Concord Biotech Limited,CONCORDBIO.NS
393,CONFIPET,Confidence Petroleum India Limited,CONFIPET.NS
394,CONSOFINVT,Consolidated Finvest & Holdings Limited,CONSOFINVT.NS
395,CONTROLPR,Control Print Limited,CONTROLPR.NS
396,CORALFINAC,Coral India Finance & Housing Limited,CORALFINAC.NS
397,CORDSCABLE,Cords Cable Industries Limited,CORDSCABLE.NS
398,COROMANDEL,Coromandel International Limited,COROMANDEL.NS
399,COSMOFIRST,COSMO FIRST LIMITED,COSMOFIRST.NS
400,COUNCODOS,Country Condo's Limited,COUNCODOS.NS
401,CPCAP,CP Capital Limited,CPCAP.NS
402,CRAFTSMAN,Craftsman Automation Limited,CRAFTSMAN.NS
403,CREATIVE,Creative Newtech Limited,CREATIVE.NS
404,CREATIVEYE,Creative Eye Limited,CREATIVEYE.NS
405,CREDITACC,CREDITACCESS GRAMEEN LIMITED,CREDITACC.NS
406,CREST,Crest Ventures Limited,CREST.NS
407,CRISIL,CRISIL Limited,CRISIL.NS
408,CROMPTON,Crompton Greaves Consumer Electricals Limited,CROMPTON.NS
409,CROWN,Crown Lifters Limited,CROWN.NS
410,CSBBANK,CSB Bank Limited,CSBBANK.NS
411,CSLFINANCE,CSL Finance Limited,CSLFINANCE.NS
412,CTE,Cambridge Technology Enterprises Limited,CTE.NS
413,CUB,City Union Bank Limited,CUB.NS
414,CUBEXTUB,Cubex Tubings Limited,CUBEXTUB.NS
415,CUMMINSIND,Cummins India Limited,CUMMINSIND.NS
416,CUPID,Cupid Limited,CUPID.NS
417,CURAA,Cura Technologies Limited,CURAA.NS
418,CYBERMEDIA,Cyber Media (India) Limited,CYBERMEDIA.NS
419,CYBERTECH,Cybertech Systems And Software Limited,CYBERTECH.NS
420,CYIENT,Cyient Limited,CYIENT.NS
421,CYIENTDLM,Cyient DLM Limited,CYIENTDLM.NS
422,DABUR,Dabur India Limited,DABUR.NS
423,DALBHARAT,Dalmia Bharat Limited,DALBHARAT.NS
424,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,DALMIASUG.NS
425,DAMCAPITAL,Dam Capital Advisors Limited,DAMCAPITAL.NS
426,DAMODARIND,Damodar Industries Limited,DAMODARIND.NS
427,DANGEE,Dangee Dums Limited,DANGEE.NS
428,DATAMATICS,Datamatics Global Services Limited,DATAMATICS.NS
